"SourcePage","IssueType","TargetURL","Details"
"about.html","BROKEN_LINK","MATCHA_MAYA_Content_Architecture.pdf","Target HTML file does not exist in workspace."
"about.html","BROKEN_LINK","Matcha_Maya_All_220_Articles.pdf","Target HTML file does not exist in workspace."
"about.html","DUPLICATE_INTERNAL_LINK","index.html","Target linked 4 times on this page."
"about.html","DUPLICATE_INTERNAL_LINK","index2.html","Target linked 3 times on this page."
"about.html","DUPLICATE_INTERNAL_LINK","comparison.html","Target linked 2 times on this page."
"about.html","DUPLICATE_INTERNAL_LINK","about.html","Target linked 2 times on this page."
"about.html","DUPLICATE_INTERNAL_LINK","podcasts.html","Target linked 2 times on this page."
"abu-dhabi-comparison.html","DUPLICATE_INTERNAL_LINK","index.html","Target linked 4 times on this page."
"abu-dhabi-comparison.html","DUPLICATE_INTERNAL_LINK","index2.html","Target linked 2 times on this page."
"abu-dhabi-comparison.html","DUPLICATE_INTERNAL_LINK","comparison.html","Target linked 3 times on this page."
"abu-dhabi-comparison.html","DUPLICATE_INTERNAL_LINK","podcasts.html","Target linked 2 times on this page."
"abu-dhabi-coworking-guide.html","DUPLICATE_INTERNAL_LINK","about.html","Target linked 2 times on this page."
"abu-dhabi-coworking-guide.html","DUPLICATE_INTERNAL_LINK","index2.html","Target linked 6 times on this page."
"abu-dhabi-coworking-guide.html","DUPLICATE_INTERNAL_LINK","comparison.html","Target linked 4 times on this page."
"abu-dhabi-coworking-guide.html","DUPLICATE_INTERNAL_LINK","index.html","Target linked 5 times on this page."
"abu-dhabi-podcast-proposal.html","BROKEN_LINK","regions/middle-east.html","Target HTML file does not exist in workspace."
"abu-dhabi-podcast-proposal.html","DUPLICATE_INTERNAL_LINK","about.html","Target linked 2 times on this page."
"abu-dhabi-podcast-proposal.html","DUPLICATE_INTERNAL_LINK","podcasts.html","Target linked 2 times on this page."
"abu-dhabi-podcast-proposal.html","DUPLICATE_INTERNAL_LINK","index.html","Target linked 2 times on this page."
"accra-comparison.html","DUPLICATE_INTERNAL_LINK","index.html","Target linked 4 times on this page."
"accra-comparison.html","DUPLICATE_INTERNAL_LINK","index2.html","Target linked 2 times on this page."
"accra-comparison.html","DUPLICATE_INTERNAL_LINK","comparison.html","Target linked 3 times on this page."
"accra-comparison.html","DUPLICATE_INTERNAL_LINK","podcasts.html","Target linked 2 times on this page."
"accra-coworking-guide.html","DUPLICATE_INTERNAL_LINK","about.html","Target linked 2 times on this page."
"accra-coworking-guide.html","DUPLICATE_INTERNAL_LINK","index2.html","Target linked 6 times on this page."
"accra-coworking-guide.html","DUPLICATE_INTERNAL_LINK","comparison.html","Target linked 4 times on this page."
"accra-coworking-guide.html","DUPLICATE_INTERNAL_LINK","index.html","Target linked 5 times on this page."
"accra-podcast-proposal.html","BROKEN_LINK","regions/africa.html","Target HTML file does not exist in workspace."
"accra-podcast-proposal.html","DUPLICATE_INTERNAL_LINK","about.html","Target linked 2 times on this page."
"accra-podcast-proposal.html","DUPLICATE_INTERNAL_LINK","index.html","Target linked 2 times on this page."
"accra-podcast-proposal.html","DUPLICATE_INTERNAL_LINK","podcasts.html","Target linked 2 times on this page."
"addis-ababa-comparison.html","DUPLICATE_INTERNAL_LINK","index.html","Target linked 4 times on this page."
"addis-ababa-comparison.html","DUPLICATE_INTERNAL_LINK","index2.html","Target linked 2 times on this page."
"addis-ababa-comparison.html","DUPLICATE_INTERNAL_LINK","comparison.html","Target linked 3 times on this page."
"addis-ababa-comparison.html","DUPLICATE_INTERNAL_LINK","podcasts.html","Target linked 2 times on this page."
"addis-ababa-coworking-guide.html","DUPLICATE_INTERNAL_LINK","about.html","Target linked 2 times on this page."
"addis-ababa-coworking-guide.html","DUPLICATE_INTERNAL_LINK","index2.html","Target linked 6 times on this page."
"addis-ababa-coworking-guide.html","DUPLICATE_INTERNAL_LINK","comparison.html","Target linked 4 times on this page."
"addis-ababa-coworking-guide.html","DUPLICATE_INTERNAL_LINK","index.html","Target linked 5 times on this page."
"addis-ababa-podcast-proposal.html","BROKEN_LINK","regions/africa.html","Target HTML file does not exist in workspace."
"addis-ababa-podcast-proposal.html","DUPLICATE_INTERNAL_LINK","about.html","Target linked 2 times on this page."
"addis-ababa-podcast-proposal.html","DUPLICATE_INTERNAL_LINK","index.html","Target linked 2 times on this page."
"addis-ababa-podcast-proposal.html","DUPLICATE_INTERNAL_LINK","podcasts.html","Target linked 2 times on this page."
"al-ula-podcast-proposal.html","BROKEN_LINK","regions/middle-east.html","Target HTML file does not exist in workspace."
